id_acidente,id_veiculo,TipoVeiculo,SexoCondutor,idade_condutor,CategoriaHabilitacao,UsaCintoSeguranca,EstadoAlcoolizacao,escolaridade
D021800451,01,ônibus,Masculino,52,Habilitado,Sem Informação,Branco,Ensino Fundamental II
D021800457,01,moto,Masculino,20,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800457,02,automóvel,Masculino,48,Habilitado,Sem Informação,Suspeita de Álcool,Ensino Médio
D021800461,01,moto,Masculino,20,Inabilitado,Sem Informação,Branco,Sem Informação
D021800461,02,automóvel,Masculino,26,Habilitado,Sem Informação,Branco,Sem Informação
D021800463,01,moto,Masculino,18,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800463,02,caminhonete,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800465,01,ônibus,Masculino,50,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800466,01,moto,Masculino,26,Sem Informação,Sem Informação,Branco,Superior
D021800466,02,caminhonete,Masculino,40,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800467,01,automóvel,Masculino,59,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800467,02,moto,Masculino,36,Sem Informação,Sem Informação,Branco,Sem Informação
D021800468,01,automóvel,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800472,01,moto,Masculino,21,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800472,02,automóvel,Feminino,40,Habilitado,Sem Informação,Branco,Superior
D021800475,01,automóvel,Masculino,43,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800475,02,caminhonete,Masculino,23,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800476,01,moto,Masculino,29,Sem Informação,Sem Informação,Branco,Superior
D021800482,01,moto,Masculino,29,Sem Informação,Sem Informação,Branco,Superior
D021800482,02,automóvel,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800485,01,moto,Masculino,37,Sem Informação,Sem Informação,Branco,Sem Informação
D021800485,02,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800490,01,moto,Masculino,18,Inabilitado,Sem Informação,Branco,Sem Informação
D021800490,02,automóvel,Masculino,47,Sem Informação,Sem Informação,Branco,Superior
D021800491,01,automóvel,Masculino,25,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800491,02,automóvel,Masculino,19,Sem Informação,Sem Informação,Branco,Sem Informação
D021800495,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800495,02,automóvel,Feminino,51,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800496,01,automóvel,Masculino,57,Sem Informação,Sem Informação,Branco,Sem Informação
D021800496,02,ônibus,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800497,01,moto,Feminino,33,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800497,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800498,01,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800499,01,ônibus,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800502,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800502,02,automóvel,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800503,01,moto,Feminino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800503,02,automóvel,Feminino,46,Sem Informação,Sem Informação,Branco,Superior
D021800505,01,automóvel,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800505,02,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800508,01,moto,Masculino,18,Inabilitado,Sem Informação,Branco,Sem Informação
D021800508,02,automóvel,Masculino,18,Sem Informação,Sem Informação,Branco,Sem Informação
D021800509,01,automóvel,Masculino,53,Sem Informação,Sem Informação,Branco,Sem Informação
D021800509,02,sem informação,Masculino,54,Sem Informação,Sem Informação,Branco,Sem Informação
D021800513,01,moto,Masculino,39,Sem Informação,Sem Informação,Branco,Superior
D021800513,02,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800517,01,ônibus,Masculino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800517,02,caminhonete,Masculino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800522,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800522,02,automóvel,Masculino,39,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800523,01,moto,Masculino,23,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800523,02,automóvel,Masculino,22,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800525,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800525,02,automóvel,Masculino,54,Sem Informação,Sem Informação,Branco,Superior
D021800526,01,automóvel,Masculino,32,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800529,01,moto,Masculino,28,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800529,02,automóvel,Masculino,64,Sem Informação,Sem Informação,Branco,Superior
D021800531,01,automóvel,Masculino,59,Habilitado,Sem Informação,Branco,Ensino Fundamental II
D021800531,02,moto,Masculino,31,Habilitado,Sem Informação,Branco,Superior
D021800532,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800533,01,moto,Masculino,25,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800536,01,automóvel,Masculino,40,Sem Informação,Sem Informação,Alcoolizado,Ensino Médio
D021800536,02,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800539,01,moto,Masculino,33,Sem Informação,Sem Informação,Branco,Sem Informação
D021800539,02,automóvel,Feminino,42,Sem Informação,Sem Informação,Branco,Superior
D021800539,03,automóvel,Feminino,38,Sem Informação,Sem Informação,Branco,Superior
D021800540,01,ônibus,Masculino,60,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800541,01,automóvel,Masculino,28,Habilitado,Sem Informação,Branco,Sem Informação
D021800542,01,moto,Masculino,28,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800542,02,automóvel,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800543,01,bicicleta,Masculino,45,Não Exigível,Sem Informação,Branco,Sem Informação
D021800543,02,moto,Masculino,40,Inabilitado,Sem Informação,Branco,Sem Informação
D021800550,01,moto,Masculino,24,Habilitado,Sem Informação,Branco,Ensino Médio
D021800550,02,automóvel,Feminino,54,Habilitado,Sem Informação,Branco,Ensino Médio
D021800554,01,automóvel,Masculino,31,Sem Informação,Sem Informação,Branco,Superior
D021800554,02,ônibus,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800555,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800555,02,moto,Masculino,20,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800556,01,moto,Masculino,15,Inabilitado,Sem Informação,Branco,Sem Informação
D021800556,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800560,01,automóvel,Feminino,40,Sem Informação,Sem Informação,Branco,Superior
D021800560,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800563,01,moto,Feminino,23,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800563,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800565,01,automóvel,Masculino,28,Inabilitado,Sem Informação,Suspeita de Álcool,Sem Informação
D021800565,02,moto,Masculino,24,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800568,01,ônibus,Masculino,40,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800572,01,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800573,01,automóvel,Masculino,20,Habilitado,Sem Informação,Suspeita de Álcool,Ensino Fundamental II
D021800573,02,automóvel,Masculino,38,Habilitado,Sem Informação,Branco,Ensino Fundamental II
D021800576,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800578,01,moto,Masculino,22,Inabilitado,Sem Informação,Branco,Sem Informação
D021800578,02,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800579,01,ônibus,Masculino,38,Sem Informação,Sem Informação,Branco,Sem Informação
D021800584,01,sem informação,Masculino,42,Sem Informação,Sem Informação,Branco,Sem Informação
D021800584,02,automóvel,Masculino,23,Sem Informação,Sem Informação,Branco,Sem Informação
D021800586,01,moto,Masculino,19,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800592,01,moto,Masculino,34,Sem Informação,Sem Informação,Branco,Sem Informação
D021800592,02,automóvel,Masculino,35,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800594,01,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800595,01,automóvel,Masculino,37,Sem Informação,Sem Informação,Branco,Sem Informação
D021800603,01,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800604,01,automóvel,Feminino,41,Sem Informação,Sem Informação,Branco,Superior
D021800604,02,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800605,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800605,02,automóvel,Masculino,33,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800606,01,automóvel,Masculino,27,Sem Informação,Sem Informação,Suspeita de Álcool,Ensino Médio
D021800607,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800608,01,automóvel,Masculino,35,Sem Informação,Sem Informação,Branco,Superior
D021800608,02,automóvel,Masculino,50,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800609,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800614,01,automóvel,Masculino,35,Sem Informação,Sem Informação,Alcoolizado,Ensino Médio
D021800614,02,automóvel,Feminino,34,Sem Informação,Sem Informação,Branco,Sem Informação
D021800614,03,automóvel,Feminino,53,Sem Informação,Sem Informação,Branco,Sem Informação
D021800617,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800617,02,automóvel,Masculino,28,Sem Informação,Sem Informação,Branco,Sem Informação
D021800623,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800625,01,moto,Masculino,20,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800625,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800626,01,automóvel,Masculino,50,Sem Informação,Sem Informação,Branco,Sem Informação
D021800627,01,moto,Masculino,32,Sem Informação,Sem Informação,Branco,Superior
D021800627,02,automóvel,Feminino,52,Sem Informação,Sem Informação,Branco,Superior
D021800630,01,automóvel,Masculino,32,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800634,01,moto,Masculino,32,Sem Informação,Sem Informação,Branco,Sem Informação
D021800634,02,automóvel,Feminino,54,Sem Informação,Sem Informação,Branco,Superior
D021800638,01,moto,Masculino,41,Sem Informação,Sem Informação,Branco,Sem Informação
D021800638,02,automóvel,Feminino,54,Sem Informação,Sem Informação,Branco,Superior
D021800638,03,caminhonete,Feminino,61,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800641,01,moto,Masculino,43,Sem Informação,Sem Informação,Branco,Superior
D021800641,02,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800642,01,caminhonete,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800647,01,automóvel,Masculino,63,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800647,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800650,01,moto,Masculino,19,Habilitado,Sem Informação,Branco,Ensino Fundamental II
D021800650,02,automóvel,Masculino,33,Habilitado,Sem Informação,Branco,Superior
D021800651,01,moto,Masculino,37,Sem Informação,Sem Informação,Branco,Superior
D021800651,02,moto,Masculino,33,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800654,01,moto,Masculino,17,Inabilitado,Sem Informação,Branco,Sem Informação
D021800654,02,caminhão,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800656,01,automóvel,Masculino,22,Sem Informação,Sem Informação,Branco,Superior
D021800656,02,moto,Masculino,30,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800660,01,moto,Masculino,34,Sem Informação,Sem Informação,Branco,Sem Informação
D021800660,02,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800662,01,moto,Masculino,27,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800662,02,automóvel,Masculino,45,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800664,01,moto,Masculino,24,Habilitado,Sem Informação,Branco,Ensino Médio
D021800668,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800669,01,moto,Masculino,37,Sem Informação,Sem Informação,Branco,Superior
D021800669,02,automóvel,Feminino,55,Sem Informação,Sem Informação,Branco,Superior
D021800673,01,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800676,01,moto,Masculino,19,Sem Informação,Sem Informação,Branco,Sem Informação
D021800677,01,bicicleta,Masculino,48,Não Exigível,Sem Informação,Branco,Ensino Médio
D021800678,01,moto,Masculino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800678,02,moto,Masculino,29,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800681,01,moto,Masculino,19,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800682,01,moto,Masculino,33,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800682,02,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800683,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800684,01,moto,Masculino,41,Sem Informação,Sem Informação,Branco,Sem Informação
D021800684,02,automóvel,Masculino,34,Sem Informação,Sem Informação,Branco,Superior
D021800691,01,moto,Masculino,48,Sem Informação,Sem Informação,Branco,Sem Informação
D021800695,01,moto,Masculino,42,Sem Informação,Sem Informação,Branco,Sem Informação
D021800695,02,caminhonete,Masculino,50,Sem Informação,Sem Informação,Branco,Sem Informação
D021800697,01,automóvel,Masculino,46,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800700,01,automóvel,Masculino,59,Sem Informação,Sem Informação,Branco,Superior
D021800700,02,moto,Masculino,19,Sem Informação,Sem Informação,Branco,Sem Informação
D021800702,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800702,02,automóvel,Masculino,19,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800704,01,automóvel,Masculino,30,Inabilitado,Sem Informação,Branco,Sem Informação
D021800704,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800704,03,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800705,01,moto,Masculino,31,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800705,02,automóvel,Masculino,28,Inabilitado,Sem Informação,Branco,Ensino Fundamental II
D021800710,01,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800712,01,bicicleta,Masculino,57,Não Exigível,Sem Informação,Branco,Ensino Fundamental I
D021800712,02,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800713,01,moto,Masculino,28,Sem Informação,Sem Informação,Branco,Sem Informação
D021800713,02,caminhonete,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800715,01,automóvel,Feminino,34,Sem Informação,Sem Informação,Branco,Superior
D021800715,02,moto,Masculino,35,Sem Informação,Sem Informação,Branco,Superior
D021800716,01,moto,Masculino,18,Inabilitado,Sem Informação,Branco,Sem Informação
D021800719,01,caminhonete,Masculino,74,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800720,01,moto,Masculino,23,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800720,02,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800723,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800723,02,automóvel,Masculino,30,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800725,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800725,02,bicicleta,Masculino,42,Não Exigível,Sem Informação,Branco,Sem Informação
D021800728,01,moto,Masculino,29,Sem Informação,Sem Informação,Branco,Superior
D021800728,02,automóvel,Masculino,38,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800729,01,moto,Masculino,18,Inabilitado,Sem Informação,Alcoolizado,Ensino Fundamental I
D021800729,02,automóvel,Masculino,28,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800731,01,moto,Masculino,20,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800731,02,automóvel,Feminino,25,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800733,01,automóvel,Feminino,45,Sem Informação,Sem Informação,Branco,Superior
D021800734,01,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800735,01,moto,Masculino,34,Inabilitado,Sem Informação,Branco,Sem Informação
D021800735,02,automóvel,Masculino,26,Sem Informação,Sem Informação,Branco,Sem Informação
D021800750,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800750,02,automóvel,Masculino,33,Sem Informação,Sem Informação,Branco,Sem Informação
D021800752,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800752,02,moto,Masculino,59,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800752,03,automóvel,Masculino,64,Sem Informação,Sem Informação,Branco,Superior
D021800760,01,moto,Masculino,41,Sem Informação,Sem Informação,Branco,Sem Informação
D021800760,02,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800762,01,moto,Masculino,53,Sem Informação,Sem Informação,Branco,Superior
D021800762,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800764,01,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800764,02,bicicleta,Masculino,25,Não Exigível,Sem Informação,Branco,Sem Informação
D021800765,01,moto,Masculino,37,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800765,02,automóvel,Masculino,40,Sem Informação,Sem Informação,Branco,Superior
D021800770,01,moto,Masculino,43,Sem Informação,Sem Informação,Branco,Sem Informação
D021800770,02,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800771,01,automóvel,Masculino,30,Habilitado,Sem Informação,Branco,Sem Informação
D021800773,01,caminhonete,Masculino,49,Sem Informação,Sem Informação,Branco,Superior
D021800782,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Alcoolizado,Sem Informação
D021800783,01,moto,Masculino,30,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800783,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800785,01,caminhonete,Sem Informação,26,Sem Informação,Sem Informação,Branco,Sem Informação
D021800785,02,moto,Masculino,19,Sem Informação,Sem Informação,Branco,Sem Informação
D021800788,01,automóvel,Feminino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800789,01,automóvel,Masculino,37,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800790,01,automóvel,Masculino,20,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800790,02,ônibus,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800791,01,moto,Masculino,27,Sem Informação,Sem Informação,Branco,Sem Informação
D021800791,02,automóvel,Masculino,29,Sem Informação,Sem Informação,Branco,Sem Informação
D021800793,01,moto,Masculino,38,Sem Informação,Sem Informação,Branco,Sem Informação
D021800793,02,automóvel,Masculino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800796,01,ônibus,Masculino,42,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800805,01,automóvel,Masculino,22,Sem Informação,Sem Informação,Branco,Sem Informação
D021800810,01,moto,Masculino,48,Sem Informação,Sem Informação,Branco,Sem Informação
D021800810,02,moto,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800812,01,automóvel,Masculino,17,Inabilitado,Sem Informação,Branco,Ensino Médio
D021800815,01,moto,Masculino,32,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800815,02,automóvel,Masculino,49,Sem Informação,Sem Informação,Branco,Ensino Fundamental I
D021800819,01,automóvel,Masculino,33,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800820,01,moto,Masculino,33,Sem Informação,Sem Informação,Branco,Sem Informação
D021800820,02,caminhão,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800822,01,moto,Masculino,33,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800824,01,moto,Masculino,24,Sem Informação,Sem Informação,Branco,Sem Informação
D021800824,02,automóvel,Masculino,54,Sem Informação,Sem Informação,Branco,Sem Informação
D021800826,01,automóvel,Masculino,26,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800826,02,bicicleta,Masculino,26,Não Exigível,Sem Informação,Branco,Sem Informação
D021800827,01,moto,Masculino,38,Sem Informação,Sem Informação,Branco,Sem Informação
D021800829,01,automóvel,Masculino,29,Sem Informação,Sem Informação,Branco,Sem Informação
D021800833,01,moto,Feminino,34,Sem Informação,Sem Informação,Branco,Superior
D021800833,02,automóvel,Masculino,40,Sem Informação,Sem Informação,Branco,Sem Informação
D021800834,01,moto,Masculino,28,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800834,02,caminhão,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800835,01,automóvel,Masculino,40,Sem Informação,Sem Informação,Alcoolizado,Ensino Fundamental II
D021800835,02,automóvel,Masculino,45,Sem Informação,Sem Informação,Branco,Sem Informação
D021800837,01,automóvel,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800837,02,moto,Masculino,26,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800842,01,moto,Masculino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800843,01,ônibus,Masculino,35,Sem Informação,Sem Informação,Branco,Sem Informação
D021800843,02,moto,Masculino,27,Sem Informação,Sem Informação,Branco,Sem Informação
D021800847,01,moto,Feminino,36,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800847,02,automóvel,Masculino,60,Sem Informação,Sem Informação,Branco,Superior
D021800850,01,caminhonete,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800851,01,ônibus,Masculino,47,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800855,01,moto,Masculino,30,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800857,01,automóvel,Masculino,43,Sem Informação,Sem Informação,Branco,Sem Informação
D021800857,02,bicicleta,Masculino,SI,Não Exigível,Sem Informação,Branco,Sem Informação
D021800858,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800860,01,caminhão,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800862,01,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800862,02,moto,Masculino,16,Inabilitado,Sem Informação,Branco,Sem Informação
D021800863,01,moto,Masculino,37,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800863,02,automóvel,Masculino,27,Sem Informação,Sem Informação,Branco,Sem Informação
D021800867,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800867,02,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800868,01,moto,Masculino,30,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800868,02,automóvel,Masculino,27,Sem Informação,Sem Informação,Suspeita de Álcool,Superior
D021800871,01,moto,Masculino,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800871,02,automóvel,Feminino,25,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800877,01,sem informação,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800881,01,moto,Masculino,29,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800881,02,automóvel,Masculino,21,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800886,01,caminhonete,Masculino,29,Sem Informação,Sem Informação,Branco,Sem Informação
D021800891,01,moto,Masculino,71,Habilitado,Sem Informação,Branco,Ensino Fundamental II
D021800891,02,automóvel,Feminino,56,Sem Informação,Sem Informação,Branco,Sem Informação
D021800892,01,moto,Masculino,28,Habilitado,Sem Informação,Branco,Sem Informação
D021800893,01,moto,Masculino,54,Sem Informação,Sem Informação,Branco,Sem Informação
D021800893,02,ônibus,Masculino,34,Sem Informação,Sem Informação,Branco,Sem Informação
D021800904,01,caminhão,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800906,01,moto,Masculino,27,Sem Informação,Sem Informação,Branco,Sem Informação
D021800906,02,automóvel,Masculino,38,Sem Informação,Sem Informação,Branco,Superior
D021800910,01,automóvel,Masculino,28,Sem Informação,Sem Informação,Alcoolizado,Ensino Médio
D021800917,01,automóvel,Masculino,29,Habilitado,Sem Informação,Alcoolizado,Ensino Fundamental I
D021800917,02,caminhonete,Feminino,49,Habilitado,Sem Informação,Branco,Superior
D021800919,01,automóvel,Masculino,31,Habilitado,Sem Informação,Branco,Sem Informação
D021800919,02,automóvel,Masculino,41,Inabilitado,Sem Informação,Branco,Sem Informação
D021800920,01,moto,Masculino,21,Sem Informação,Sem Informação,Branco,Sem Informação
D021800920,02,caminhonete,Masculino,34,Sem Informação,Sem Informação,Branco,Sem Informação
D021800921,01,moto,Masculino,41,Sem Informação,Sem Informação,Branco,Superior
D021800921,02,automóvel,Masculino,23,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800924,01,automóvel,Masculino,39,Habilitado,Sem Informação,Branco,Ensino Médio
D021800924,02,automóvel,Masculino,40,Habilitado,Sem Informação,Branco,Ensino Fundamental II
D021800925,01,automóvel,Masculino,36,Habilitado,Sem Informação,Branco,Ensino Médio
D021800928,01,moto,Masculino,25,Sem Informação,Sem Informação,Branco,Sem Informação
D021800928,02,automóvel,Feminino,53,Sem Informação,Sem Informação,Branco,Superior
D021800931,01,automóvel,Masculino,48,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800931,02,automóvel,Masculino,23,Sem Informação,Sem Informação,Branco,Ensino Médio
D021800933,01,moto,Masculino,28,Habilitado,Sem Informação,Branco,Ensino Médio
D021800933,02,automóvel,Feminino,28,Habilitado,Sem Informação,Branco,Sem Informação
D021800934,01,moto,Masculino,19,Inabilitado,Sem Informação,Alcoolizado,Ensino Fundamental I
D021800934,02,automóvel,Sem Informação,SI,Sem Informação,Sem Informação,Branco,Sem Informação
D021800936,01,moto,Masculino,32,Sem Informação,Sem Informação,Branco,Sem Informação
D021800936,02,automóvel,Masculino,42,Sem Informação,Sem Informação,Branco,Sem Informação
D021800937,01,ônibus,Masculino,45,Sem Informação,Sem Informação,Branco,Sem Informação
D021800939,01,automóvel,Masculino,39,Sem Informação,Sem Informação,Branco,Sem Informação
D021800948,01,ônibus,Masculino,36,Sem Informação,Sem Informação,Branco,Ensino Fundamental II
D021800948,02,moto,Masculino,40,Inabilitado,Sem Informação,Branco,Sem Informação
