id_acidente,cadlogA,nomeA,cadlogB,nomeB,alt_num,referencia,data,hora,CodigoAcidente,dp,bo,automovel,moto,onibus,caminhao,bicicleta,onibus_fretado,onibus_urbano,microonibus,caminhonete,carroca,outros,sem_informacao,ferida,obito,det,distrito,princ_a,princ_b,TipoAcidente,latitude,longitude,geocoding,obstaculo,observacao,ocorrenciaPolicial
D021800594,13937,MIGUEL PAULO CAPALBO, RUA DR   ,     ,,134,               ,11/02/2018,17:30,atropelamento,12 ,938   ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,LE1,56,13937,,Atropelamento,-23.5228,-46.6132,,,,
D021800595,98421,VALENCIO AUGUSTO DE B. FILHO, RUA,     ,,845,               ,08/02/2018,07:57,atropelamento,45 ,315   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NO2,29,98421,,Atropelamento,-23.4718,-46.7045,,,,
D021800603,98943,ARLEY GILBERTO DE ARAUJO, AV ,     ,,126,               ,09/02/2018,19:43,atropelamento,73 ,1600  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CN2,39,98943,,Atropelamento,-23.4473,-46.5756,,,,
D021800604,11397,JUREIA, RUA,33750,MACHADO, RUA PDE  ,0,               ,16/02/2018,13:10,com vítima,16 ,1527  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU1,77,11397,33750,Colisão transversal,-23.6013,-46.6295,,,,
D021800605,04933,CIDADE JARDIM, AV ,     ,,0,NC             ,15/02/2018,17:50,com vítima,15 ,573   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,OE1,62,04933,,Colisão,-23.5809,-46.6841,,,,
D021800606,44645,DIREITOS HUMANOS, AV ,     ,,1849,               ,02/02/2018,06:10,com vítima,38 ,361   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CN1,51,44645,,Choque,-23.4763,-46.6412,,VE,,
D021800607,03933,ITAPITANGA, RUA,     ,,0,NC             ,18/02/2018,16:00,com vítima,32 ,770   ,0,1,0,0,0,0,0,0,0,0,0,0,2,0,SE3,57,03933,,Queda moto/bicicleta,-23.5508,-46.4607,,,,
D021800608,05565,CRUZEIRO, RUA,     ,,896,               ,16/02/2018,21:59,com vítima,23 ,851   ,2,0,0,0,0,0,0,0,0,0,0,0,1,0,NO2,69,05565,,Colisão traseira,-23.5193,-46.654,,,,
D021800609,01029,AMAZONAS, RUA,     ,,91,               ,03/02/2018,21:38,atropelamento,02 ,1161  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CN1,9 ,01029,,Atropelamento,-23.5286,-46.6345,,,,
D021800614,05175,COLOMBIA, RUA,06651,ESTADOS UNIDOS, RUA,0,               ,03/02/2018,12:32,com vítima,78 ,1005  ,3,0,0,0,0,0,0,0,0,0,0,0,1,0,OE1,45,02497,6651,Colisão traseira,-23.5661,-46.6686,,,,
D021800617,36284,PETRONIO PORTELA, AV  MIN  ,     ,,767,               ,24/02/2018,09:00,com vítima,28 ,1527  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO2,29,36284,,Colisão,-23.4922,-46.7,,,,
D021800623,11909,LINNEU GOMES, PCA COMTE,     ,,100,               ,18/02/2018,22:23,com vítima,02 ,1451  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SU2,15,11909,,Choque,-23.6258,-46.66,,OU,,
D021800625,15425,CANTIDIO SAMPAIO, AV  DEP  ,     ,,1351,               ,09/02/2018,07:24,com vítima,72 ,938   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO2,11,15425,,Colisão transversal,-23.4656,-46.679,,,,
D021800626,20454,ARNALDO  BARBOSA, RUA DR   ,     ,,530,               ,03/02/2018,12:35,com vítima,42 ,677   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SE1,72,20454,,Choque,-23.5875,-46.5498,,VE,,
D021800627,12242,LUIS GOIS, RUA,     ,,0,NC             ,20/02/2018,22:15,com vítima,16 ,444   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU1,77,12242,,Colisão,-23.6037,-46.6283,,,,
D021800630,13014,MARGINAL DO RIO PINHEIROS (SYL, AV ,     ,,7221,               ,10/02/2018,20:50,atropelamento,14 ,1326  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,PB ,54,13014,,Atropelamento,-23.6177,-46.7016,,,,
D021800634,05606,CUPECE, AV ,     ,,3100,               ,02/02/2018,18:00,com vítima,43 ,877   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU3,22,05606,,Colisão lateral,-23.6678,-46.6515,,,,
D021800638,13805,MELO PEIXOTO, RUA,04807,CESARIO GALERO, RUA,0,               ,02/02/2018,10:40,com vítima,52 ,227   ,1,1,0,0,0,0,0,0,1,0,0,0,1,0,LE1,80,04807,13805,Colisão transversal,-23.5362,-46.5594,,,,
D021800641,19583,VERGUEIRO, RUA,09312,IRAJA, RUA CD    DE ,0,               ,05/02/2018,16:00,com vítima,06 ,1193  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU1,90,09312,19583,Colisão lateral,-23.5912,-46.6313,,,,
D021800642,17820,TITO, AV  MAL  ,     ,,3762,               ,24/02/2018,12:00,atropelamento,59 ,2032  ,0,0,0,0,0,0,0,0,1,0,0,0,0,1,LE2,84,17820,,Atropelamento,-23.4947,-46.4102,,,,
D021800647,75433,LATINOS, AV  DOS,02181,ARICANDUVA, AV ,0,               ,16/02/2018,05:20,com vítima,66 ,578   ,2,0,0,0,0,0,0,0,0,0,0,0,1,0,SE3,4 ,02181,75433,Colisão traseira,-23.5722,-46.5042,,,,
D021800650,12502,MAGALHAES DE CASTRO, AV ,19105,ULYSSES REIS DE MATTOS, AV ,0,               ,05/02/2018,18:45,com vítima,34 ,962   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,PB ,54,12502,19105,Colisão traseira,-23.6139,-46.7008,,,,
D021800651,15188,OTAVIANO ALVES DE LIMA, AV ,     ,,1824,               ,02/02/2018,15:30,com vítima,40 ,922   ,0,2,0,0,0,0,0,0,0,0,0,0,3,0,TT ,50,29772,,Colisão lateral,-23.513,-46.673,,,,
D021800654,17824,SAPOPEMBA, AV ,     ,,14000,               ,23/02/2018,00:30,com vítima,55 ,1732  ,0,1,0,1,0,0,0,0,0,0,0,0,1,0,SE1,73,17824,,Colisão traseira,-23.6118,-46.4774,,,,
D021800656,07645,FRONTIN, AV  CD    DE ,     ,,1200,               ,09/02/2018,08:30,com vítima,21 ,287   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,LE1,91,07645,,Colisão lateral,-23.5342,-46.5464,,,,
D021800660,08367,GUARAPIRANGA, AV ,     ,,4956,               ,08/02/2018,13:30,com vítima,92 ,1320  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SO3,46,08367,,Colisão lateral,-23.6852,-46.75,,,,
D021800662,15626,PAULA FERREIRA, AV ,     ,,2055,               ,25/02/2018,15:06,com vítima,87 ,1382  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO3,63,15626,,Colisão,-23.4938,-46.7143,,,,
D021800664,18594,TAIPAS, ES ,     ,,997,               ,21/02/2018,17:40,atropelamento,74 ,1226  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NO3,42,18594,,Atropelamento,-23.4467,-46.735,,,,
D021800668,25162,FRANCISCO INACIO SOLANO, RUA,     ,,33,               ,16/02/2018,14:40,atropelamento,101,1503  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SU4,30,25162,,Atropelamento,-23.7437,-46.6656,,,,
D021800669,04538,CASIMIRO DA ROCHA, AV  SEN  ,     ,,272,               ,14/02/2018,15:35,com vítima,16 ,1499  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU2,77,04538,,Colisão,-23.6053,-46.6384,,,,
D021800673,09044,RAGUEB CHOHFI, AV ,     ,,157,               ,22/02/2018,17:30,atropelamento,49 ,1690  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SE3,73,09044,,Atropelamento,-23.6098,-46.4741,,,,
D021800676,09715,JABAQUARA, AV ,     ,,0,NC             ,01/02/2018,11:10,atropelamento,35 ,976   ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SU2,77,09715,,Atropelamento,-23.6042,-46.6366,,,,
D021800677,71982,ONOFRE JORGE VELHO, RUA,     ,,101,               ,21/02/2018,16:00,com vítima,53 ,1084  ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,SE3,57,71982,,Sem Informação,-23.5603,-46.4691,,,,
D021800678,15507,TEOTONIO VILELA, AV  SEN  ,     ,,3161,               ,20/02/2018,15:20,com vítima,85 ,1993  ,0,2,0,0,0,0,0,0,0,0,0,0,3,1,SU4,23,15507,,Colisão lateral,-23.7293,-46.6983,,,IAT,
D021800681,13833,MENDONCA JUNIOR, RUA,     ,,611,               ,06/02/2018,21:31,com vítima,40 ,900024,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CN1,13,13833,,Choque,-23.4768,-46.664,,PA,,
D021800682,00543,ALCANTARA MACHADO, AV ,     ,,4107,               ,01/02/2018,15:30,com vítima,08 ,413   ,0,1,0,0,0,0,0,0,0,0,0,1,1,0,LE1,8 ,00543,,Colisão lateral,-23.5429,-46.5873,,,,
D021800683,34500,IGUATEMI, AV ,     ,,7001,               ,22/02/2018,12:20,atropelamento,54 ,866   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SE3,33,34500,,Atropelamento,-23.6136,-46.4013,,,,
D021800684,02421,ASSIS CHATEAUBRIAND, AV ,     ,,1000,               ,28/02/2018,09:00,com vítima,13 ,1628  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,TT ,70,29772,,Colisão traseira,-23.517,-46.6423,,,,
D021800691,04863,CHARIM, RUA,     ,,105,               ,06/02/2018,15:30,atropelamento,53 ,760   ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SE3,57,04863,,Atropelamento,-23.559,-46.4614,,,,
D021800695,00543,ALCANTARA MACHADO, AV ,     ,,2100,               ,15/02/2018,08:15,com vítima,08 ,978   ,0,1,0,0,0,0,0,0,1,0,0,0,1,0,LE1,53,00543,,Colisão,-23.5482,-46.6032,,,,
D021800697,16838,RAIMUNDO PEREIRA DE MAGAL., AV ,     ,,13500,               ,11/02/2018,07:14,com vítima,74 ,1032  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NO3,42,16838,,Choque,-23.4303,-46.7204,,PO,,
D021800700,45521,ELOA DO VALLE QUADROS, RUA DONA ,45541,ACEROLA, RUA,0,               ,17/02/2018,20:15,com vítima,54 ,846   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,LE4,25,45521,45541,Colisão transversal,-23.5916,-46.4133,,,,
D021800702,35091,AGUIAR DA BEIRA, AV ,     ,,370,               ,21/02/2018,21:06,com vítima,41 ,720   ,2,0,0,0,0,0,0,0,0,0,0,0,1,0,SE1,4 ,35091,,Colisão,-23.5683,-46.5182,,,,
D021800704,42054,GIOVANNI NASCO, RUA,     ,,480,               ,18/02/2018,01:30,com vítima,69 ,900033,3,0,0,0,0,0,0,0,0,0,0,0,2,0,SE1,76,42054,,Choque,-23.605,-46.4986,,VE,,
D021800705,15524,PARNAIBA, RUA VISC  DE ,     ,,2654,               ,21/02/2018,06:22,com vítima,81 ,283   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,LE1,8 ,15524,,Colisão,-23.5424,-46.6016,,,,
D021800710,03994,CAMPANELLA, AV ,     ,,788,               ,11/02/2018,19:10,atropelamento,64 ,814   ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,LE4,37,03994,,Atropelamento,-23.5358,-46.4668,,,,
D021800712,05245,CONSOLACAO, RUA DA ,     ,,2037,               ,09/02/2018,17:00,com vítima,78 ,678   ,0,0,0,0,1,0,0,0,0,0,0,1,1,0,OE1,26,05245,,Colisão,-23.5529,-46.6593,,,,
D021800713,13915,MIGUEL ESTEFANO, AV ,     ,,3600,               ,01/02/2018,15:40,com vítima,83 ,328   ,0,1,0,0,0,0,0,0,1,0,0,0,1,0,SU1,27,13915,,Colisão lateral,-23.645,-46.6256,,,,
D021800715,06201,EDMUNDO CARVALHO, RUA,     ,,587,               ,26/02/2018,07:20,com vítima,95 ,462   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE2,68,06201,,Colisão transversal,-23.6247,-46.5984,,,,
D021800716,36006,LUIZ PINELLI, RUA,     ,,29,               ,01/02/2018,13:40,com vítima,25 ,379   ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SU4,55,36006,,Queda moto/bicicleta,-23.8077,-46.7352,,,,
D021800719,10407,JOAO PASSALAQUA, RUA,12690,MANOEL DUTRA, RUA,0,               ,20/02/2018,17:15,atropelamento,05 ,681   ,0,0,0,0,0,0,0,0,1,0,0,0,1,0,SO1,7 ,12690,17517,Atropelamento,-23.5551,-46.6454,,,,
D021800720,19931,WASHINGTON LUIS, AV ,     ,,3636,               ,20/02/2018,08:00,com vítima,11 ,520   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU3,71,19931,,Colisão lateral,-23.6474,-46.6751,,,,
D021800723,13671,MATEO BEI, AV ,     ,,250,               ,18/02/2018,00:06,com vítima,49 ,1556  ,1,1,0,0,0,0,0,0,0,0,0,0,2,0,SE3,73,13671,,Colisão frontal,-23.5855,-46.4911,,,,
D021800725,48158,NAOR GUELFI, VD ,     ,,0,NC             ,18/02/2018,06:30,com vítima,75 ,424   ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,OE2,65,48158,,Colisão,-23.5824,-46.7712,,,,
D021800728,02946,BASILIO DA CUNHA, RUA,     ,,500,               ,22/02/2018,12:35,com vítima,06 ,669   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU1,14,02946,,Colisão,-23.5765,-46.6225,,,,
D021800729,77626,KOTO MITSUTANI, RUA,     ,,608,               ,25/02/2018,23:51,com vítima,47 ,1827  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,OE3,17,77626,,Colisão frontal,-23.649,-46.7832,,,,
D021800731,13133,MARIA AMALIA LOPES AZEVEDO, RUA,     ,,1200,               ,02/02/2018,14:32,com vítima,20 ,993   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,CN2,81,13133,,Colisão transversal,-23.4562,-46.5936,,,,
D021800733,11325,JULIO COLACO, RUA,     ,,79,               ,07/02/2018,15:13,atropelamento,30 ,464   ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,LE3,91,11325,,Atropelamento,-23.5341,-46.5434,,,,
D021800734,18760,TAYLOR, RUA COMTE,     ,,1100,               ,05/02/2018,23:00,atropelamento,95 ,756   ,0,0,0,0,0,0,0,0,0,0,0,1,0,1,SE2,34,18760,,Atropelamento,-23.6024,-46.5947,,,,
D021800735,11998,LORETO, RUA BR    DE ,15717,PAULO BREGARO, RUA,0,               ,09/02/2018,14:00,com vítima,17 ,497   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE2,34,11998,15717,Colisão,-23.5872,-46.6116,,,,
D021800750,13133,MARIA AMALIA LOPES AZEVEDO, RUA,     ,,2573,               ,18/02/2018,23:00,com vítima,73 ,1713  ,2,0,0,0,0,0,0,0,0,0,0,0,1,0,CN2,81,13133,,Colisão lateral,-23.4563,-46.6011,,,,
D021800752,07500,FRANCISCO MORATO, AV  PROF ,     ,,2971,               ,06/02/2018,09:15,com vítima,34 ,380   ,2,1,0,0,0,0,0,0,0,0,0,0,1,0,OE3,94,07500,,Colisão lateral,-23.5878,-46.7268,,,,
D021800760,14270,MORVAN DIAS DE FIGUEIREDO, AV ,     ,,5479,               ,08/02/2018,20:25,com vítima,90 ,1317  ,0,2,0,0,0,0,0,0,0,0,0,0,1,0,TT ,89,29772,,Colisão lateral,-23.5253,-46.5737,,,,
D021800762,11545,LAGO (IPIRANGA), RUA DO ,     ,,259,               ,06/02/2018,15:00,com vítima,95 ,464   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE2,34,11545,,Colisão lateral,-23.6036,-46.6055,,,,
D021800764,19708,VILA EMA, AV ,     ,,5880,               ,09/02/2018,15:00,com vítima,70 ,442   ,0,0,0,0,1,0,0,0,0,0,0,1,1,0,SE1,76,19708,,Colisão,-23.5959,-46.5268,,,,
D021800765,11426,JURUPIS, AL  DOS,09880,JAMARIS, AV ,0,               ,15/02/2018,23:50,com vítima,36 ,1363  ,1,1,0,0,0,0,0,0,0,0,0,0,1,1,SO1,32,09880,11426,Colisão,-23.6051,-46.6606,,,,
D021800770,13853,MERCURIO, AV ,     ,,10,               ,23/02/2018,07:45,com vítima,01 ,784   ,0,2,0,0,0,0,0,0,0,0,0,0,1,0,CN3,78,13853,,Colisão traseira,-23.5441,-46.6265,,,,
D021800771,11294,FONTOURA XAVIER, RUA,     ,,529,               ,20/02/2018,13:00,atropelamento,32 ,598   ,1,0,0,0,0,0,0,0,0,0,0,0,2,0,LE4,37,11294,,Atropelamento,-23.5492,-46.4557,,,,
D021800773,14213,MOOCA, RUA DA ,     ,,3352,               ,27/02/2018,09:20,atropelamento,57 ,699   ,0,0,0,0,0,0,0,0,1,0,0,0,2,0,SE2,53,14213,,Atropelamento,-23.5571,-46.5923,,,,
D021800782,45498,MOISES DE CORENA, RUA,     ,,60,               ,04/02/2018,15:05,atropelamento,54 ,606   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,LE4,25,45498,,Atropelamento,-23.595,-46.3972,,,,
D021800783,12165,LUIS ANTONIO, AV  BRIG ,02965,BATATAES, RUA,0,               ,28/02/2018,15:00,com vítima,01 ,1814  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SO1,32,02965,12165,Colisão frontal,-23.5726,-46.6542,,,,
D021800785,36031,COLONIA, ES  DA ,     ,,1000,               ,27/02/2018,15:30,com vítima,25 ,711   ,0,1,0,0,0,0,0,0,1,0,0,0,1,0,SU4,55,36031,,Colisão lateral,-23.8484,-46.7133,,,,
D021800788,69612,ANDRE FRANCISCO XAVIER, RUA,     ,,33,               ,16/02/2018,16:00,atropelamento,42 ,987   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SE1,72,69612,,Atropelamento,-23.5805,-46.5408,,,,
D021800789,20048,YERVANT KISSAJIKIAN, AV ,     ,,3092,               ,06/02/2018,13:30,atropelamento,80 ,412   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SU3,22,20048,,Atropelamento,-23.6814,-46.6525,,,,
D021800790,17820,TITO, AV  MAL  ,     ,,1300,               ,22/02/2018,22:10,com vítima,22 ,1358  ,1,0,1,0,0,0,0,0,0,0,0,0,1,0,LE2,74,17820,,Colisão traseira,-23.4948,-46.4334,,,,
D021800791,61441,JOAO RODRIGUES CHAVES, RUA,     ,,134,               ,09/02/2018,11:55,com vítima,45 ,321   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO2,11,61441,,Colisão transversal,-23.4761,-46.6951,,,,
D021800793,14350,MUTINGA, AV ,     ,,3188,               ,10/02/2018,11:20,com vítima,33 ,1016  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,NO3,95,14350,,Colisão,-23.4921,-46.7508,,,,
D021800796,04659,CAXIAS, AV  DUQ   DE ,     ,,562,               ,02/02/2018,16:55,atropelamento,03 ,564   ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,CN3,66,04659,,Atropelamento,-23.5372,-46.6437,,,,
D021800805,06620,CAPRICHO, RUA,     ,,128,               ,19/02/2018,06:40,com vítima,39 ,514   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CN2,82,06620,,Choque,-23.4839,-46.5938,,PA,,
D021800810,12403,M'BOI MIRIM, ES ,     ,,6000,               ,26/02/2018,08:40,com vítima,100,664   ,0,2,0,0,0,0,0,0,0,0,0,0,1,0,SO3,43,12403,,Colisão,-23.6958,-46.7793,,,,
D021800812,30942,DOMINGOS DA GUIA, RUA,     ,,10,               ,05/02/2018,21:13,com vítima,55 ,1159  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SE3,75,30942,,Choque,-23.6312,-46.4391,,AR,,
D021800815,19186,TRUMAIN, AV ,07194,FLOR DE VILA FORMOSA, AV ,0,               ,15/02/2018,11:30,com vítima,70 ,479   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SE1,85,07194,19186,Colisão,-23.5661,-46.5357,,,,
D021800819,70864,ALGARD, RUA,     ,,8,               ,21/02/2018,15:25,atropelamento,47 ,1692  ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SO3,19,70864,,Atropelamento,-23.6757,-46.7857,,,,
D021800820,46936,JACU-PESSEGO/NOVA TRABALHADORE, AV ,     ,,1200,               ,08/02/2018,18:40,com vítima,53 ,825   ,0,1,0,1,0,0,0,0,0,0,0,0,1,0,LE2,87,46936,,Colisão,-23.5024,-46.4583,,,,
D021800822,14741,MIGUEL DE CASTRO, AV ,     ,,240,               ,20/02/2018,13:30,atropelamento,87 ,589   ,0,1,0,0,0,0,0,0,0,0,0,0,2,0,NO3,63,14741,,Atropelamento,-23.4828,-46.7222,,,,
D021800824,01356,ANGELICA, AV ,     ,,1189,               ,21/02/2018,20:57,com vítima,77 ,721   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,OE1,26,01356,,Colisão transversal,-23.5431,-46.6563,,,,
D021800826,14335,MURSA, RUA CEL  ,13589,MARTIM BURCHARD, RUA,0,               ,02/02/2018,15:30,com vítima,08 ,701   ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,LE1,10,13589,14335,Colisão transversal,-23.5482,-46.6159,,,,
D021800827,10081,JOANA PEDROSO DOS SANTOS, RUA,     ,,811,               ,09/02/2018,01:00,com vítima,74 ,934   ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NO3,42,10081,,Choque,-23.4279,-46.7268,,PO,,
D021800829,07153,FIORELLI PECCICACCO, RUA,     ,,934,               ,21/02/2018,07:00,atropelamento,46 ,741   ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NO3,61,07153,,Atropelamento,-23.4046,-46.7438,,,,
D021800833,08438,GUAVIRUTUBA, ES ,     ,,0,NC             ,14/02/2018,18:10,com vítima,55 ,580   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SO3,43,08438,,Colisão transversal,-23.6856,-46.7688,,,,
D021800834,98750,SEM INFORMACAO DE ENDERECO, SI ,     ,,0,NC             ,15/02/2018,14:17,com vítima,90 ,1586  ,0,1,0,1,0,0,0,0,0,0,0,0,0,1,SI ,SI,98750,,Colisão,,,,,,
D021800835,46949,TELEMACO H. M. VAN, AV  PROF ,     ,,47,               ,25/02/2018,22:40,com vítima,47 ,1826  ,2,0,0,0,0,0,0,0,0,0,0,0,3,0,SO3,19,46949,,Colisão frontal,-23.6608,-46.7696,,,,
D021800837,73500,CAICARA DO RIO DO VENTO, RUA,     ,,559,               ,02/02/2018,14:50,com vítima,62 ,579   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,LE3,28,73500,,Colisão lateral,-23.4909,-46.4903,,,,
D021800842,18151,SEZEFREDO FAGUNDES, AV  CEL  ,     ,,1855,               ,22/02/2018,19:40,com vítima,20 ,1792  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,CN2,81,18151,,Queda moto/bicicleta,-23.4608,-46.6024,,,,
D021800843,10270,JOAO DIAS, AV ,20363,LAGUNA, RUA,0,               ,25/02/2018,07:33,com vítima,11 ,1995  ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,SO2,71,10270,20363,Colisão,-23.6445,-46.7161,,,,
D021800847,09309,IRAI, AV ,     ,,87,               ,06/02/2018,18:00,com vítima,27 ,1516  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SO1,32,09309,,Colisão transversal,-23.6082,-46.6654,,,,
D021800850,13671,MATEO BEI, AV ,     ,,3535,               ,17/02/2018,14:35,atropelamento,49 ,1925  ,0,0,0,0,0,0,0,0,1,0,0,0,1,0,SE3,73,13671,,Atropelamento,-23.6108,-46.4758,,,,
D021800851,11063,JOSE MARIA, AV  PDE  ,     ,,400,               ,03/02/2018,18:24,atropelamento,11 ,1213  ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,SO2,71,11063,,Atropelamento,-23.6541,-46.7103,,,,
D021800855,15967,PEDRO I, AV  DOM  ,     ,,100,               ,02/02/2018,22:47,com vítima,06 ,709   ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SE2,14,15967,,Choque,-23.5641,-46.6115,,PO,,
D021800857,45637,LUIZ JOSE COSTA-LEANDRO, RUA,     ,,35,               ,17/02/2018,21:31,com vítima,54 ,1554  ,1,0,0,0,1,0,0,0,0,0,0,0,1,0,LE4,25,45637,,Colisão,-23.6023,-46.4016,,,,
D021800858,01429,ANHANGUERA, VIA,     ,,22850,               ,18/02/2018,16:25,com vítima,46 ,1208  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,RV1,3 ,01429,,Choque,-23.4447,-46.7869,,DE,,
D021800860,45488,FLOR DE MARACUJA, TV ,     ,,8,               ,05/02/2018,13:26,atropelamento,40 ,433   ,0,0,0,1,0,0,0,0,0,0,0,0,1,0,CN1,13,45488,,Atropelamento,-23.4816,-46.6711,,,,
D021800862,06224,EDU CHAVES, AV ,17339,ROLAND GARROS, AV ,0,               ,23/02/2018,20:30,com vítima,73 ,1909  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,CN2,39,06224,17339,Colisão transversal,-23.4748,-46.5697,,,,
D021800863,14531,NHAMBIQUARAS, AL  DOS,     ,,0,NC             ,08/02/2018,12:30,com vítima,36 ,1169  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU2,32,14531,,Colisão lateral,-23.6013,-46.6539,,,,
D021800867,45521,ELOA DO VALLE QUADROS, RUA DONA ,     ,,410,               ,19/02/2018,08:16,com vítima,54 ,800   ,0,1,0,0,0,0,0,0,0,0,0,1,1,0,LE4,25,45521,,Colisão,-23.5904,-46.4122,,,,
D021800868,01429,ANHANGUERA, VIA,     ,,24440,               ,25/02/2018,03:01,com vítima,46 ,1367  ,1,1,0,0,0,0,0,0,0,0,0,0,1,1,RV1,3 ,01429,,Colisão lateral,-23.4308,-46.7866,,,,
D021800871,16919,REBOUCAS, AV ,     ,,2538,               ,03/02/2018,18:30,com vítima,14 ,900020,1,1,0,0,0,0,0,0,0,0,0,0,1,0,OE1,62,16919,,Colisão lateral,-23.5673,-46.6843,,,,
D021800877,38475,HENRIQUE MUZZIO, RUA,     ,,457,               ,22/02/2018,21:19,atropelamento,25 ,647   ,0,0,0,0,0,0,0,0,0,0,0,1,1,0,SU4,30,38475,,Atropelamento,-23.7835,-46.6828,,,,
D021800881,14917,OLAVO EGIDIO DE SOUZA ARANHA, AV ,     ,,368,               ,24/02/2018,12:40,com vítima,62 ,1470  ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,LE3,28,14917,,Colisão transversal,-23.5048,-46.4938,,,,
D021800886,01429,ANHANGUERA, VIA,     ,,26000,               ,24/02/2018,15:00,com vítima,46 ,1357  ,0,0,0,0,0,0,0,0,1,0,0,0,1,0,RV1,3 ,01429,,Choque,-23.4204,-46.7938,,OU,,
D021800891,05606,CUPECE, AV ,     ,,3320,               ,10/02/2018,10:00,com vítima,43 ,465   ,1,1,0,0,0,0,0,0,0,0,0,0,1,0,SU3,22,05606,,Colisão lateral,-23.6679,-46.6512,,,,
D021800892,09529,ITAPECERICA, ES  DE ,     ,,5900,               ,21/02/2018,12:45,com vítima,47 ,1698  ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,SO3,19,09529,,Queda moto/bicicleta,-23.6626,-46.7808,,,,
D021800893,00998,SANTO AMARO, AL ,     ,,6487,               ,24/02/2018,14:40,com vítima,11 ,1977  ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,SO2,71,00998,,Colisão lateral,-23.6601,-46.7045,,,,
